datetime,timestamp,Spherical_Joint_Base_Trans_0,Spherical_Joint_Base_Trans_1,Spherical_Joint_Base_Trans_2,Spherical_Joint_Base_Ori_0,Spherical_Joint_Base_Ori_1,Spherical_Joint_Base_Ori_2,Spherical_Joint_Base_Ori_3,Spherical_Joint_Top_Trans_0,Spherical_Joint_Top_Trans_1,Spherical_Joint_Top_Trans_2,Spherical_Joint_Top_Ori_0,Spherical_Joint_Top_Ori_1,Spherical_Joint_Top_Ori_2,Spherical_Joint_Top_Ori_3
2023-10-20 11:49:55.669681,1697795395.669681,-141.6615708193223,703.5459611929738,634.6483457164383,-0.015368381335529892,0.006353941457086517,0.340104393787235,0.9402406296314274,-132.7170615809174,695.4594184742919,711.2841539521356,-0.06710560247538873,-0.01691260236265429,-0.33344333669962284,0.9402267509533856
2023-10-20 11:49:55.769703,1697795395.769703,-141.67731635093122,703.5423536758361,634.611633786262,-0.01529005918921027,0.006398280223440606,0.3400773150576817,0.9402514003623346,-132.72815366111746,695.4588856276171,711.2523836963518,-0.06766849209713036,-0.016965846654725877,-0.3331858639051331,0.9402767227355887
2023-10-20 11:49:55.869726,1697795395.869726,-141.6736739292145,703.5432025775461,634.6140488752575,-0.015332275614379675,0.006402047688384677,0.3401205017107285,0.9402350660478063,-132.722033783094,695.4591470655934,711.2517374466697,-0.06751317775781605,-0.01660650559409897,-0.3331756511888627,0.9402979210100765
2023-10-20 11:49:55.969749,1697795395.969749,-141.67838374861938,703.5433242338129,634.6176928085082,-0.01531963129341663,0.006381711810581168,0.34011073852079093,0.9402389420749614,-132.73478584635058,695.4609757662145,711.2459034882307,-0.06736790957875737,-0.01653071659037498,-0.33333950434083476,0.9402516019735376
2023-10-20 11:49:56.069771,1697795396.069771,-141.67064114600842,703.5381119423918,634.6073231026098,-0.015470463025635955,0.006302545724466349,0.340137273794851,0.9402274074215078,-132.72142242440393,695.4615517106772,711.2417233383151,-0.06750002527979551,-0.01616658873704187,-0.3329783130203965,0.9403764305074459
2023-10-20 11:49:56.169794,1697795396.169794,-141.66998501629564,703.5429595216656,634.6188846035885,-0.015294747111208895,0.006380751417889594,0.3401198287786774,0.9402360654610684,-132.7228241875128,695.4603139088703,711.2528638021431,-0.06726533050321874,-0.016944335331327987,-0.33317115496374616,0.940311249700117
2023-10-20 11:49:56.269816,1697795396.269816,-141.6748132481158,703.5433154880986,634.6253528596702,-0.015349574357275398,0.006300424484985837,0.34013607154083975,0.9402298378881221,-132.72630147841605,695.4602806106806,711.252163412237,-0.06775767534800461,-0.016665695353612963,-0.33303990455499377,0.9403273759727597
2023-10-20 11:49:56.369839,1697795396.369839,-141.67063287659838,703.5407335565702,634.6105797290004,-0.015459864210049037,0.006359712353450498,0.3401266522191179,0.9402310392172785,-132.7262788450248,695.4560283176114,711.2547066433042,-0.06757400968440155,-0.01673761591727315,-0.33342886841250036,0.9402014651859132
2023-10-20 11:49:56.469862,1697795396.469862,-141.66886917591606,703.5418812761995,634.6108779494269,-0.01530612811856342,0.006355560083149375,0.3400787719566672,0.940250901707886,-132.73469483630308,695.4539616044426,711.2356445734356,-0.06746263294935818,-0.016308537847339682,-0.3333949384553933,0.9402290357998665
2023-10-20 11:49:56.569884,1697795396.569884,-141.66680869107483,703.5415279155956,634.6131097605731,-0.01542785001634241,0.006370715416333066,0.34012208746263856,0.9402331418584514,-132.73055338375445,695.4573325220758,711.2385980931934,-0.06757274456546586,-0.016747710213160894,-0.3330366720567736,0.9403403710677615
2023-10-20 11:49:56.669907,1697795396.669907,-141.671665520796,703.5449940025713,634.611983217752,-0.015271471495409215,0.006336131044061279,0.34006975558513525,0.9402548574392072,-132.72503881658275,695.4613501653934,711.2391684164398,-0.06747034240052496,-0.01670762708056336,-0.3332183022651686,0.940284090649848
2023-10-20 11:49:56.769930,1697795396.76993,-141.66421343459209,703.5476724859124,634.6147086481425,-0.015373930130241801,0.006323523803146275,0.34012545313570136,0.9402331261172919,-132.71694517056716,695.4555004753914,711.2512482162797,-0.06741423663709098,-0.01640012640212723,-0.33306283667704245,0.9403486073671159
2023-10-20 11:49:56.869953,1697795396.869953,-141.66595878728972,703.5473177127586,634.6221867206541,-0.015248992994472807,0.006367094199310139,0.34006396128247174,0.940257108753231,-132.73218506882276,695.4575624384482,711.246572350542,-0.06762857583804513,-0.01632589036033059,-0.33341691644560606,0.9402090197727121
2023-10-20 11:49:56.969975,1697795396.969975,-141.66584394405712,703.5440730082732,634.6097642812559,-0.015397319160978631,0.00636111267725126,0.34009407967859934,0.9402438384673036,-132.72810539838378,695.4583050364157,711.2397872325716,-0.0673772057250924,-0.016353266113556666,-0.33312908172978223,0.9403286115725555
2023-10-20 11:49:57.069997,1697795397.069997,-141.67518845854056,703.5407269417325,634.6053105112298,-0.015322694925143735,0.006424677399236752,0.34011094690242044,0.9402385241722899,-132.73402938898556,695.4582853335455,711.2360449420358,-0.06754056557138313,-0.016376011617963468,-0.3331875045459756,0.9402957965769131
2023-10-20 11:49:57.170020,1697795397.17002,-141.67051948646332,703.5441886791144,634.6150427336707,-0.015328278704432263,0.006387143944573292,0.3401077901434449,0.9402398307601806,-132.72676722805144,695.4543331787049,711.2371083611215,-0.06755313770886807,-0.01653944520222646,-0.33316351275946493,0.9403005339272457
2023-10-20 11:49:57.270043,1697795397.270043,-141.67029166166537,703.5384587053406,634.617545621786,-0.015247503143212255,0.006352077807220633,0.34009557978201793,0.9402457983783612,-132.73055977651444,695.4566305697342,711.2406278962321,-0.06767392059089616,-0.016580529363476666,-0.33292272091631947,0.9403764078365421
