,target_yaw_angle,predicted_yaw_angle,target_pitch_angle,predicted_pitch_angle,target_roll_angle,predicted_roll_angle,joint_angle_1,joint_angle_2,joint_angle_3,joint_angle_4,loss
0,0.0,-0.01160120964050293,0.0,0.027491211891174316,0.0,0.02715921401977539,116.38524086843246,59.643018664074575,114.18937865707335,63.616695468163165,0.000813988852314651
1,0.0,0.007120370864868164,6.386031,6.379430294036865,0.0,0.009426116943359375,118.39553553442842,59.435542660700705,107.94930083150368,58.975468025036264,9.156133455689996e-05
2,0.0,0.0016944408416748047,12.103485,12.10883903503418,0.0,0.01388406753540039,112.23067165485355,70.04863343303118,102.72949679206971,67.66064432707412,0.00011215150152565911
3,0.0,-0.007540464401245117,16.55378,16.567033767700195,0.0,-0.010624408721923828,112.51500887463334,72.83027136959103,98.04440117445623,64.31800846981362,0.0001727047929307446
4,0.0,-0.01356196403503418,19.271,19.292802810668945,0.0,0.01916646957397461,110.99454056564363,73.8221952803421,96.44002784839674,67.06749799015685,0.0005133234662935138
5,0.0,0.007718324661254883,19.970669,19.966510772705078,0.0,-0.0040130615234375,110.81336675137379,74.09690434059961,96.74794015872808,68.60957143160518,4.64831646240782e-05
6,0.0,-0.009131193161010742,18.579535,18.594392776489258,6.493989,6.505476474761963,123.26957864737608,71.2833152473247,92.7878278710282,74.24398856528033,0.00021805422147735953
7,0.0,-0.02593207359313965,15.24324,15.215353965759277,12.284254,12.256729125976562,139.30489184212595,62.053154388525854,92.55283574893232,79.58160413621336,0.0011038730153813958
8,0.0,-0.445056676864624,10.311075,10.382357597351074,16.74333,16.46653175354004,158.63156600494466,71.69694910095788,88.2596485180582,85.35416084942291,0.13988694548606873
9,0.0,0.1724398136138916,4.299405,4.311755657196045,19.388006,19.3947811126709,131.98381383573587,48.05264017382964,95.16765708093858,93.22232853509006,0.014966961927711964
10,0.0,0.027338266372680664,-2.1623857,-2.286848545074463,19.93169,19.91015625,124.22629468081676,49.81675939008003,95.72522194401948,93.09295645554164,0.008351045660674572
11,0.0,0.0034868717193603516,-8.397784,-8.342982292175293,18.315466,18.307100296020508,116.35920878893951,48.186475110553914,92.0014921667861,93.22630949770824,0.0015426973113790154
12,0.0,0.09041047096252441,-13.753992,-13.77425479888916,14.7144785,14.699699401855469,111.70266704202555,52.24119870997243,90.35490755229728,93.1195010484109,0.004401526413857937
13,0.0,-0.0308835506439209,-17.670242,-17.71649169921875,9.518949,9.387929916381836,104.43806462331426,51.97779319955812,99.87874118619978,89.86495867807577,0.01012934185564518
14,0.0,0.020641565322875977,-19.73653,-19.7044677734375,3.2918925,3.303048610687256,95.50796010800164,52.93812424075436,110.02374341820943,85.50125224390811,0.0007892691064625978
15,0.0,0.056589365005493164,-19.73653,-19.723419189453125,-3.2918959,-3.276092052459717,96.54552415263774,66.16717431169957,129.64666600635326,82.44884694173044,0.0018120090244337916
16,0.0,0.0027811527252197266,-17.670242,-17.70844078063965,-9.518951,-9.509378433227539,89.21935082988912,61.95603388117511,147.38246668120607,81.08067986142177,0.0007792500546202064
17,0.0,0.028194665908813477,-13.753987,-13.800274848937988,-14.71448,-14.68414306640625,88.16824729299469,56.38915713828545,169.47425352098927,75.13795954876736,0.0019289145711809397
18,0.0,0.07370781898498535,-8.397783,-8.275641441345215,-18.315468,-18.425504684448242,83.8451134062945,88.08699415380369,134.59402652310737,63.947517588312266,0.016229789704084396
19,0.0,-0.0060269832611083984,-2.1623852,-2.1921162605285645,-19.93169,-19.842668533325195,83.68703315534661,90.96199364978904,133.0367350610472,58.21558291387658,0.00442255986854434
20,0.0,0.006306886672973633,4.299401,4.255345344543457,-19.388004,-19.275121688842773,84.00362895825157,93.11969836022809,129.47137592135385,52.900553061639286,0.007361572701483965
21,0.0,0.011228322982788086,10.311075,10.243796348571777,-16.74333,-16.767757415771484,89.79264116342395,88.31340452904983,120.06091422611912,44.7034650143852,0.0026246095076203346
22,0.0,-0.145646333694458,15.243244,15.172354698181152,-12.284251,-12.312887191772461,88.16392499396174,77.57685665982844,109.01812326324915,47.115151833856864,0.01352909579873085
23,0.0,-0.030126571655273438,18.579535,18.55492401123047,-6.4939814,-6.527838230133057,96.91914885072633,73.956798617332,102.31622449060335,62.846602104248326,0.0013297877740114927
24,0.0,0.007718324661254883,19.970669,19.966510772705078,3.4969112e-06,-0.0040130615234375,110.81336675137379,74.09690434059961,96.74794015872808,68.60957143160518,4.6497203584294766e-05
25,0.0,-0.01356196403503418,19.271002,19.292802810668945,0.0,0.01916646957397461,110.99454056564363,73.8221952803421,96.44002784839674,67.06749799015685,0.0005132819060236216
26,0.0,-0.007540464401245117,16.553785,16.567033767700195,0.0,-0.010624408721923828,112.51500887463334,72.83027136959103,98.04440117445623,64.31800846981362,0.00017262896290048957
27,0.0,0.0016944408416748047,12.103479,12.10883903503418,0.0,0.01388406753540039,112.23067165485355,70.04863343303118,102.72949679206971,67.66064432707412,0.00011218215513508767
28,0.0,0.007120370864868164,6.3860273,6.379430294036865,0.0,0.009426116943359375,118.39553553442842,59.435542660700705,107.94930083150368,58.975468025036264,9.153615974355489e-05
29,0.0,-0.01160120964050293,-4.7699524e-07,0.027491211891174316,0.0,0.02715921401977539,116.38524086843246,59.643018664074575,114.18937865707335,63.616695468163165,0.0008140019490383565
